web-scraper-order,web-scraper-start-url,Date,Tourist_Home_Location,Scrape_Tagline,Scrape_Review_Text
"1733318007-17","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 November 2014","Agra, India","The tourist hub","The most famous landmark of Shimla is the Ridge where the Christ Church is located. It is in the heart of Shimla & a famous tourist attraction. It is one place which every one visits when you come to Shimla. It is usually the venue for all celebrations and events in Shimla.
 It is situated along the Mall Road, which is the famous shopping centre of Shimla. Most major places of Shimla like Lakkar Bazaar, Mall, Scandal Point, Jakhoo hill, etc. are connected through the Ridge. Pony riding is available here."
"1733318007-18","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 2 November 2014","Pune, India","Excellent place !","We visited this place twice during our stay at Shimla & we found this place to crowded, Still this place is relaxing . 

There are few chairs where you can stay sitback and enjoy the view of Shimla . If weather is cloudy you will be between clouds and you will enjoy them in the best . 

There are few fast food joints available which are offering snacks as well. Over all it's a one of the landmark in shimla and must visit !!"
"1733318007-19","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 31 October 2014","Mumbai, India","Hustle","Crowded, noisy, but the nooks and corners are crammed with local shops and eating places. Designed so you cannot get lost. A police band plays every so often. Nice feeling."
"1733318017-20","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 29 January 2015","New Delhi, India","perfect","the ridge is the perfect place id you are going with family or friends for a holiday in shimla..near to the famous mall so you can inulge in other activities as well..can be easily reached through the lifts..a favourite spot for locals and tourists in the evening to view and admire the beauty ot shimla..."
"1733318017-21","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 27 January 2015","Mumbai, India","happening","the most happening place in Shimla.. sit in the sun.., shop the local stuff,eat soft/alu tikki/maggie, enjoy the great view and click pictures.. nice place to spend a lazy afternoon."
"1733318017-22","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 13 January 2015","Jaipur, India","come here at evening---","The Ridge is one of the famous spot at Shimla---at evening times very beautiful look--large open space---many events organised here--one should pass here 2 to 3 hours----the Mall and Lakkar bazar is close to ridge---you may enjoy and make fun here----thank you--"
"1733318017-23","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 11 January 2015","Noida, India","Feels good","This place is very big and very nice to have a view of valley..connected with Mall road. This place have a church looks great. You can enjoy a peaceful evening just sit on the bench and look at the beautiful shimla."
"1733318017-24","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 11 January 2015","14 contributions","A Great Place","What can I say, Ive seen pictures and video's of the ridge but they do it no justice. Beautiful place lovely people.
Would love to go again."
"1733318017-25","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 4 January 2015","Mumbai, India","THE RIDGE","over a period of time...Ridge is a very very famous place ..especially during the evening Time..
All the Children are playing..people come for the walk..it has a lovely Sunset Point too...
One can see Valley from Both the side...
No No No Motor car or any vehicle is allowed on the Ridge..
Wonderful to roam around by late Night Romantic Walk too...ofcourse if U r staying on the Mall...
Local Lakkad Bazar is just near the corner...
Very Old Church is on the Ridge..
All kind of Restaurents r there on the Ridge..
If U r in Shimla then its a Must Place to roam by evening"
"1733318017-26","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 31 December 2014","Mumbai, India","Wow!","a great walk at the Ridge. lot of activities like live music, great place to click photos, snacking place, soak Shimla, etc. Ridge is the place to be in Shimla"
"1733318017-27","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 28 December 2014","Mumbai, India","Nice place to spend a couple of hours","Great area to just wander around and people watch. Kids can do some horse riding if they want.  Good views of the valley."
"1733318017-28","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 December 2014","Bhilai, India","A must hang on place","At the end of the Mall road there starts the Ridge. It has a lovely view of Simla and there are lot of vendors for your apetite arousing. Horse riding is also available for children as well adults. The place is full romantic as lots of couples newly wed are roaming out. But the major attraction is the soup and softy with your better half with you will give a never forgetting moment."
"1733318017-29","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or920-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 December 2014","India","a place to roam around","it is the centre of Shimla and you can enjoy horse riding here plus some knic knacks like shopping in lakkar bazaar near it which is the market mainly selling products made of wood and have few icecreams to eat to enjoy chilling weather."
"1733318025-30","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 February 2015","Kent, UK","The Ridge, is just 1.6 km from Shimla railway station","The Ridge, is just 1.6 km from Shimla railway station, 1 km from The Mall. There are many hotels on the Ridge. There are many budget properties on the Ridge in Shimla that enjoy proximity to the railway Station and The Mall Road.The hotels here offer comfortable lodging facility and well-furnished rooms. 
The hotel is ideal for both travellers and vacationers as it provides a range of facilities and services, including laundry service, room service and security. The 24-hour front desk takes care of different needs of guests."
"1733318025-31","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 26 February 2015","Pune, India","The ridge","A place where everyone can see the beauty of hills.In winter one can experience beautiful white snow. A place where family members can experience the calmness of the hill and serenity of the mountains. The church is a great attraction on the ridge."
"1733318025-32","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 24 February 2015","Surrey, Canada","Good Hangout Place","Ridge a good place to hangout specially with friends. You have a 360 degree view from top of mountains and there are wide varieties and option of eateries to satisfy you taste-buds."
"1733318025-33","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 21 February 2015","New Delhi, India","Nice place with lot of beautiful views","It will be better if you visit there during snowfalls because this place looks just heaven at that point of time. There are lot places around to eat and drink. There is one temple as well but one has to climb a lot in order to get there. One take number of photographs with different and really beautiful views."
"1733318025-34","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 16 February 2015","Kangra, India","Beautiful open space","Ridge is the most happening place in shimla. Here you can enjoy horse ride and also have magnificent views of HIMALAYAS. There is a historical church, library and statues of India's  popular leaders. There is a small open air theatre where local artists give their performance."
"1733318025-35","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 14 February 2015","London, UK","Climax of the walk","Finish your Shimla Heritage Walk by stepping up onto the Ridge!
A fine way to finish your trek, and take in the marvelous views around.

A great opportunity for taking photographs and purchasing local snacks.

Minimal facilities otherwise though."
"1733318025-36","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 9 February 2015","New Delhi, India","The heart of Shimla","This place needs no introduction. The most popolar place in Shimla.People are seen clicking photograph and just strolling ."
"1733318025-37","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 3 February 2015","Rourkela, Orissa, India","Gud place to spend your evening","I visited this place in month of September. Lots of food joints, show piece items, woolen clothes stores were available. Shawls, Sweaters were of nominal rates and of course of very good quality. KFC, Dominos are also there. You can take a walk all along the road, take pictures, have your food, have chit chat ."
"1733318025-38","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 2 February 2015","Mumbai, India","Beautiful","Ridge is the place to be if you are in Shimla. The church, the town centre, the view, everything is just splendid.The old heritage properties around give you the ethnic feel and so does the mountain range all around."
"1733318025-39","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or910-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 29 January 2015","Gainesville, FL","Visit to shimla","To be in Shimla and not to be on Ridge on a afternoon to evening stroll, coffee to whiskey is a sacrilege"
"1733318035-40","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 18 March 2015","Hyderabad, India","Calm and serene place to sit and watch the city","Calm and serene place to sit and watch the city from the top of Ridge. Fine shooting spot and site seeing place from where you can see Shimla city all around."
"1733318035-41","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 17 March 2015","Noida, India","Charming!!","The Ridge is a very quiet place. Even with a few hundred people around you it's quiet!! Absence of vehicles (as true with the entire Mall road) on the wide stretch brings that charming quietness. Late in the evening when the surrounding hills light up, the view becomes simply stupendous. One really needs to be there to experience it!"
"1733318035-42","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 16 March 2015","Mangalore, India","same old charm","when you come to this place, you see the same old charm... lot of tourist roaming, enjoying, school kids going, horse riding, mountain dress, church...... just lovely"
"1733318035-43","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 14 March 2015","Mumbai, India","Romantic !","My wife and me enjoyed the stroll through the ridge and the Mall road. Its quite spectacular the way it has been maintained - neat and clean."
"1733318035-44","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 13 March 2015","Suffolk, UK","Incredible views, variety and colour - not to be missed","We were in Shimla on a Sunday so the Ridge was humming with religious and family activity, so a great place for people watching and to appreciate the amazing mountain views."
"1733318035-45","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 12 March 2015","England","Interesting and pleasant walk","Doesn't take long, not strenuous in any way, but a fair number of interesting things to see along the way."
"1733318035-46","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 10 March 2015","19 contributions","Just walk around!","The ridge is the serene place even amidst the crowd! Just parallel to it downstairs is the entire mall road which is very crowded and noisy but the ridge is opposite. The view of the Hanuman Temple from this place is most amazing!"
"1733318035-47","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 March 2015","Karnal, India","Ridge - The Crown Of Shimla....","Relaxing....peaceful...clean...romantic...a perfect place for the evening....you can just roam around with yous friends...family...wife...girlfriend...ok for everyone....

The most famous landmark of Shimla is the Ridge where the Christ Church is located. 
It is in the heart of Shimla & a famous tourist attraction.... 

It is one place which every one visits when you come to Shimla. It is usually the venue for all celebrations and events in Shimla....

It is situated along the Mall Road, which is the famous shopping centre of Shimla. Most major places of Shimla like Lakkar Bazaar, Mall, Scandal Point, Jakhoo hill, etc. are connected through the Ridge. Pony riding is available here...."
"1733318035-48","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 7 March 2015","Bhopal, India","SUPERB VIEW: ABSOLUTELY PRISTINE","This was the first place we reached on our trip to Shimla. Thank God for local rules, no vehicles permitted. This is the highest road in Shimla and affords a superb view of the old summer capital of the Raj. From Scandal Point to Lakkad Bazar the ridge was full of winter tourists. Unfortunately there was no snow to keep us enthralled, but the weather was nice and chilly just what the doctor ordered. :) The neo-Gothic church on the Ridge was a must see, and we did our bit. The architecture is superb and the church beautifully maintained. The old band stand has been converted into a restaurant, rather two restaurants, run by HP tourism. Time for lunch and we entered. However the food was not something to write home about. Notwithstanding The Ridge was the place to be in Shimla. A must visit."
"1733318035-49","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or900-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 6 March 2015","New Delhi, India","7 hills View","I just want to thank the person who identified this place and created the mall road and the viewable areas. Millions of people would have clicked the pix right here"
"1733318043-50","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 April 2015","Kolkata (Calcutta), India","Good even when its crowded","Best during the evening with no crowd around. You can enjoy your ice cream in peace. The area is kept clean by the authorities, the church as a backdrop looks fantastic."
"1733318043-51","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 14 April 2015","Staines, UK","Shimla Town Centre","This is the place in Shimla where the town gets together. Where arts are performed, where festivals are celebrated, where people meet and greet, where you can get your photograph in Himachali outfit, where you can visit Christ Church and Lakkar Bazar and where you can have ice creams and food. A must visit place if you are in Shimla."
"1733318043-52","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 12 April 2015","Gurugram (Gurgaon), India","I would walk on this forever!","The Ridge is very British and has all the buildings from the colonial times. Do take the Heritage walk no i."
"1733318043-53","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 7 April 2015","Huntingdon, UK","Striking town square","I think what makes the Ridge stand out for me is how unusual it is for the centre of an Indian town. It could almost be somewhere in Europe were it not for the obvious cues that you are in India, not least of which are the excellent statues of Indira and Mahatma Ghandi."
"1733318043-54","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 5 April 2015","Emirate of Abu Dhabi, United Arab Emirates","Excellent Views","Nice Place, You can see colourful tourists here and there. Nice views al around. You may spend hours here. One side it is joined with mall Road and other side Lakkad Bazar, where you can do roadside shopping. Very Old Library and a Church gives a feeling of British Period when Shimla was Summer Capital."
"1733318043-55","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 31 March 2015","13 contributions","Has its own charm..!!","A nice place if you want to have a short walk.. have some tea and chat with your friends. This is the central point at the the top section of the Mall.. scenic views to the church side and the Lakkad Bazaar..!"
"1733318043-56","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 30 March 2015","Navi Mumbai, India","Excellent look from Church side","It was really a life experience to be at the Ridge, on the top it was 15th August, so got opportunity to see beautiful  Band playing. It was rainy day,, had its own charm at the Ridge. By side there were  about 2 or 3 tea & breakfast stalls. From left side of ( Back side to Church) the Ridge were few staircase leading to the Mall. Nice experience to be over there & view clouds."
"1733318043-57","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 29 March 2015","Hyderabad, India","An awesome place to hangout..THE RIDGE","Be sure to spend a lot of time and hangout...its awesome...the ridge gives u place to relax after a good walk..if you r with family you will surely enjoy the horse ride or have some Shimla get up photos..the photos are quite costly....anyway it's really good ..but I am sure one can enjoy in Shimla and only on RIDGE WHEN IN SHIMLA"
"1733318043-58","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 24 March 2015","Dubai, United Arab Emirates","The best chilly evening I'v ever spent","I got an opportunity to spend a cold november evening here! and omg! It was one heck of an evening..The best part abt ridge is it takes u back in time,the view,Indian coffee house,food stalls...just be there,while around..it doesnt matter if you are alone or with friends,u'l definitely end up having mesmerising time here.its a pretty quiet place even with tonns of people around..on the way back do try a coffee at indian coffee house! its just perfect"
"1733318043-59","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or890-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 March 2015","Pune, India","Very Nice","What a place! Lovely view of the valley from the edges on one side  and the other side with a hill with Jhaku temple on top and you can see Hanumanji tall statue. Its a no vehicle zone and walking here is enjoyable."
"1733318052-60","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 23 April 2015","India","Best place in shimla to hang around","The view from the Ridge, in Shimla is really mesmerizing. Please don't forget to carry your Camera along, while visiting this place."
"1733318052-61","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 22 April 2015","Chandigarh, India","Heart of Shimla","It is the heart of Shimla. People who come here must see Ridge. It tells the history of Shimla. Walk on the ridge and feel Shimla."
"1733318052-62","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 22 April 2015","New Delhi, India","Always happening","Apart from the Mall Road, it is the most happening tourist place in Shimla. Always crowded and lively."
"1733318052-63","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 21 April 2015","New Delhi, India","good","Amazing view from the ridge. This is a good place to visit in winters. The cool breeze would cheer you. It was a good experience."
"1733318052-64","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 21 April 2015","Jorhat, India","Broad & open road. No vehicles!","Just above the Mall Rd lies the Ridge. Like the Mall Rd, the Ridge too is off limits to motorists. However, there're less shops & more open space than the Mall. Nice place for an evening stroll & see the sun go down"
"1733318052-65","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 20 April 2015","Indore, India","Best place to hang out","This is a very happening place I could see in a hill station. I must mention the live musical concert going on throughout the day, which is the best attraction. Horse rides, stalls, baywatching.. everything can be experienced here. The small eating outlet serves really tasty momos and icecreme.."
"1733318052-66","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 April 2015","New Delhi","The Ridge, Shimla","Still the best bit of Shimla, its raison d'être !
Although quite crowded nowadays with the onslaught of the invading hordes from the Plains of Northern India, the Ridge still is the high-point literally of Shimla.
Spectacular views, food, people watching..."
"1733318052-67","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 April 2015","Navsari, India","Feel of British Raj","Firstly, I want to inform that whenever you visit Shimla never stay in New Shimla otherwise you'll develop hatred for this place as it is very crowded, filthy and polluted. You just need to climb up to Old Shimla which is a real Jem. Old Shimla is exact opposite of New Shimla. Places to visit here are few but I guarantee that the people seeking for peaceful holiday would definitely love this place. Now, as my review is about The Ridge let me tell you that you will feel like you are back in British Raj because of its divine ChristChruch standing tall on the Ridge and also because of the old colonial buildings built by Britishers which are now converted to restaurants and shops.

Things not to be missed- Delicious Pastries and lip-smacking non-veg food especially mutton kebabs at Baljees which is located just opposite to the Nagar Nigam of shimla. This place is heaven for photography buffs because of the beautiful backdrop provided by this place. You can also visit hanuman temple(i forgot the name) which stands at the peak over the ridge but be ready to experience a stressful walk of i think 3-4 kms because the road is very steepy.

Vehicles are not allowed in Old shimla so brace yourselves to walk if you really want to discover this place..ya horses are available but according to me strolling through the ridge is better option because you wont enjoy the ride as it is too much costly and you'll get really tired after the ride so dont waste money on horseride instead use them wisely on food or buying books at the bookshops..ya these bookshops have wide variety of classic books.

In a nutshell, I would recommend you to visit this place once in a lifetime, you'll respect the Britishers for the heritage they have left behind for us..."
"1733318052-68","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 17 April 2015","Peterborough, UK","Shimla's shops and hotspot","We went there to get some photos processed and stayed for 3 hours checking out the shops and local food places.  The Ridge is where Shimla folk get together and meet, it is busy without the claustrophobia of usual Indian town centres"
"1733318052-69","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or880-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 April 2015","Dubai, United Arab Emirates","best place","this is the best place which i liked in Shimla. my 3 days stay, every morning and evening i visited this place. Luckily we saw snow falling during our stay, which is rarely happens end of March. nice and clean parks, lakkar bazar, mall, lower bazar are at walking distance."
